DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
230504066,01/02/2023,01/02/2023,1805,05,Harbor,0563,997,TRAFFIC COLLISION,3004 3026 4025 3029 3032,51,M,A,101,STREET,GAFFEY                       ST,10TH                         ST,"(33.7352, -118.2924)",3342,975,1206,,15,36
230304125,01/03/2023,01/02/2023,1615,03,Southwest,0378,997,TRAFFIC COLLISION,3003 3023 4025 3029,45,M,H,101,STREET,BROWNING                     BL,VERMONT                      AV,"(34.0146, -118.2872)",23668,729,977,7,13,32
231204085,01/02/2023,01/02/2023,2220,12,77th Street,1249,997,TRAFFIC COLLISION,3004 3036 3026 4025,27,M,H,101,STREET,FIGUEROA                     ST,69TH                         ST,"(33.9774, -118.2827)",23675,774,992,7,14,
230804054,01/03/2023,01/02/2023,0230,08,West LA,0861,997,TRAFFIC COLLISION,3011 3026 3033 3034 3037 3101 3401 3701 4008,22,,,101,STREET,PACIFIC COAST                HY,SUNSET                       BL,"(34.0385, -118.5556)",25066,837,1392,,10,
231104138,01/05/2023,01/02/2023,0740,11,Northeast,1186,997,TRAFFIC COLLISION,3101 3401 3701 3036 3033 0605 3006 3034 4024 3026,99,M,W,101,STREET,GRAND VIEW,PARK ROW,"(34.0768, -118.2314)",22728,531,1368,,11,28
231304076,01/02/2023,01/02/2023,1618,13,Newton,1323,997,TRAFFIC COLLISION,0605 3006 3028 3030 3033 3037 3101 4024 3401 3701,50,M,H,101,STREET,25TH                         ST,CENTRAL                      AV,"(34.0197, -118.2546)",22727,705,972,7,13,6
231804063,01/02/2023,01/02/2023,0030,18,Southeast,1842,997,TRAFFIC COLLISION,3014 3027 3032 4025 3040 3101 3601,18,M,H,101,STREET,IMPERIAL                     HY,SAN PEDRO                    ST,"(33.9312, -118.2695)",24355,809,1194,7,15,53
231304078,01/02/2023,01/02/2023,2055,13,Newton,1346,997,TRAFFIC COLLISION,0605 3028 3030 3033 3034 3036 3101 4024 3004,31,M,H,101,STREET,COMPTON                      AV,41ST                         ST,"(34.0082, -118.2474)",22727,709,980,7,13,51
231404024,01/03/2023,01/02/2023,1930,14,Pacific,1486,997,TRAFFIC COLLISION,3006 3028 3039 3033 3035 3037 3101 3401 3701 4014,24,M,W,101,STREET,SEPULVEDA                    WY,92ND                         ST,"(33.9534, -118.3963)",23676,936,791,10,10,16
230204041,01/02/2023,01/02/2023,0120,02,Rampart,0279,997,TRAFFIC COLLISION,3028 3039 4002 0605 3101 3401 3701 3006 3037 3035,36,M,H,101,STREET,JAMES M WOOD,BLAINE,"(34.049, -118.269)",23078,568,1378,54,11,68
231304088,01/03/2023,01/02/2023,2208,13,Newton,1309,997,TRAFFIC COLLISION,3034 0605 3011 3033 3101 3401 3701 4013 3025,48,M,H,101,STREET,15TH                         ST,IMPERIAL                     ST,"(34.0215, -118.2314)",23082,533,1287,7,9,76
231304060,01/02/2023,01/02/2023,1300,13,Newton,1341,997,TRAFFIC COLLISION,0605 4024 3004 3026 3101 3401 3701 3036 3034 3033,54,M,B,101,STREET,HILL,JEFFERSON,"(34.0197, -118.2749)",22724,700,975,7,13,6
231104051,01/02/2023,01/02/2023,1114,11,Northeast,1141,997,TRAFFIC COLLISION,0605 4024 3028 3011 3101 3401 3701 3037 3034 3033,28,M,W,101,STREET,NEW HAMPSHIRE,FINLEY,"(34.1077, -118.293)",23445,402,1326,,7,3
230804052,01/02/2023,01/02/2023,2045,08,West LA,0852,997,TRAFFIC COLLISION,3035 3037 3101 3401 3701 1218 3003 3026 3029 4027,70,F,W,101,STREET,SANTA MONICA                 BL,BARRY                        AV,"(34.044, -118.4555)",23443,865,1381,9,10,50
231204111,01/03/2023,01/02/2023,2355,12,77th Street,1273,997,TRAFFIC COLLISION,3037 3006 3028 3030 3101 3039,50,M,O,101,STREET,8900 S  WESTERN                      AV,,"(33.9563, -118.309)",23678,784,357,7,14,20
232004049,01/02/2023,01/02/2023,0745,20,Olympic,2039,997,TRAFFIC COLLISION,4027 3004 3028 3035 3037 3101 3401 3701,55,M,O,101,STREET,LEEWARD                      AV,HOOVER                       ST,"(34.0587, -118.2842)",24352,569,754,,11,63
230704063,01/02/2023,01/02/2023,1920,07,Wilshire,0719,997,TRAFFIC COLLISION,3004 3026 3029 3035 3036 3101 3401 3701 4027 3001,35,M,H,101,STREET,BEVERLY                      BL,LARCHMONT                    BL,"(34.0762, -118.3236)",22721,577,348,,7,86
230504041,01/02/2023,01/02/2023,0700,05,Harbor,0551,997,TRAFFIC COLLISION,3030 3011 3028 3032 4025,25,M,W,108,PARKING LOT,ELBERON                      AV,LELAND                       AV,"(33.7487, -118.3011)",3343,973,1445,,15,25
231304046,01/02/2023,01/02/2023,0815,13,Newton,1395,997,TRAFFIC COLLISION,0605 3011 3028 3034 3037 3101 4024,32,M,O,101,STREET,AVALON,FLORENCE,"(33.9747, -118.2652)",22352,790,998,7,13,46
230304069,01/02/2023,01/02/2023,1220,03,Southwest,0318,997,TRAFFIC COLLISION,0605 4024 3011 3028 3002 3034,52,M,W,101,STREET,23RD,VERMONT,"(34.0352, -118.2915)",22724,682,963,7,14,32
232004034,01/02/2023,01/02/2023,0130,20,Olympic,2091,997,TRAFFIC COLLISION,3004 3028 3034 3039 4027 3037 3101 3401 3701,28,M,W,101,STREET,WESTERN                      AV,20TH                         ST,"(34.0388, -118.309)",23079,678,898,,12,19
230504067,01/02/2023,01/02/2023,1805,05,Harbor,0563,997,TRAFFIC COLLISION,3004 3029 4025 3026,64,F,H,101,STREET,GAFFEY                       ST,9TH                          ST,"(33.7321, -118.295)",3342,976,1452,,15,36
230904026,01/02/2023,01/02/2023,0010,09,Van Nuys,0984,997,TRAFFIC COLLISION,3101 3006 3028 4026 3030 3037,25,F,W,101,STREET,DICKENS                      ST,CEDROS                       AV,"(34.1504, -118.4518)",19732,337,680,,7,83
231004071,01/02/2023,01/02/2023,1845,10,West Valley,1063,997,TRAFFIC COLLISION,3101 3004 3026 4026 3034 3036,48,F,O,101,STREET,VENTURA                      BL,CREBS                        AV,"(34.1715, -118.5428)",19339,320,1496,6,4,10
231504088,01/03/2023,01/02/2023,2245,15,N Hollywood,1519,997,TRAFFIC COLLISION,3101 4026 3004 3028 3030 3036,49,M,O,101,STREET,KITTRIDGE                    ST,DENNY                        AV,"(34.1903, -118.3649)",8889,172,486,,5,13
231604042,01/03/2023,01/02/2023,2330,16,Foothill,1668,997,TRAFFIC COLLISION,3030 3101 4026 3006 3028 3037,47,M,H,101,STREET,MARCUS                       AV,SHADYGROVE                   ST,"(34.247, -118.2818)",3222,6,541,,1,7
231904037,01/02/2023,01/02/2023,0930,19,Mission,1921,997,TRAFFIC COLLISION,3101 3030 3011 3028 4026 3034 3037,23,M,W,101,STREET,LAUREL CANYON                BL,POLK                         ST,"(34.2936, -118.4685)",18912,58,642,,1,47
231804402,01/07/2023,01/02/2023,1905,18,Southeast,1829,997,TRAFFIC COLLISION,4018 3011 3028 3034 3101,34,M,H,101,STREET,ALAMEDA,103RD,"(33.9431, -118.2279)",22351,1633,98,21,,
231904052,01/02/2023,01/02/2023,1630,19,Mission,1962,997,TRAFFIC COLLISION,3101 4019 3004 3026 3029 3037,20,M,H,101,STREET,NORDHOFF                     ST,BURNET                       AV,"(34.2355, -118.4632)",18914,114,1108,,1,73
232104041,01/03/2023,01/02/2023,2245,21,Topanga,2137,997,TRAFFIC COLLISION,3006 3028 4026 3030 3037 3101,,M,H,101,STREET,DE SOTO                      AV,SHERMAN                      WY,"(34.2011, -118.5884)",4278,272,273,,4,66
231504103,01/03/2023,01/02/2023,1500,15,N Hollywood,1524,997,TRAFFIC COLLISION,3004 3028 3030 3037 3101 4015,37,F,W,101,STREET,VICTORY                      BL,WILKINSON                    AV,"(34.1869, -118.3987)",8889,189,495,,5,13
231704029,01/02/2023,01/02/2023,0700,17,Devonshire,1765,997,TRAFFIC COLLISION,3004 3026 4026 3034 3036 3101,50,M,W,101,STREET,LASSEN                       ST,WILBUR                       AV,"(34.25, -118.5448)",18513,109,1419,,2,77
232104032,01/02/2023,01/02/2023,1710,21,Topanga,2128,997,TRAFFIC COLLISION,3101 3011 3028 4026 3034 3037,,X,X,101,STREET,SATICOY                      ST,WINNETKA                     AV,"(34.2084, -118.571)",4282,273,1543,,4,66
232004623,01/18/2023,01/02/2023,2000,20,Olympic,2011,997,TRAFFIC COLLISION,3004 3028 3030 4027 3035 3037 3101 3401 3701,37,M,F,101,STREET,WESTERN                      AV,1ST                          ST,"(34.073, -118.3091)",22721,585,1125,,12,89
230305066,01/23/2023,01/02/2023,1136,03,Southwest,0343,997,TRAFFIC COLLISION,4025 3030 3004 3028,34,F,B,108,PARKING LOT,3600 S  LA BREA                      AV,,"(34.0199, -118.3608)",23077,760,1122,,12,54
230616077,10/04/2023,01/03/2023,1300,06,Hollywood,0676,997,TRAFFIC COLLISION,3003 3026 3029 4027 3032 3035 3037 3101 3401 3701,37,F,O,101,STREET,WARING                       AV,COLE                         AV,"(34.0853, -118.3299)",23669,443,535,,8,34
230904095,01/04/2023,01/03/2023,2120,09,Van Nuys,0929,997,TRAFFIC COLLISION,3101 3004 3026 4009 3036,22,M,H,101,STREET,FULTON                       AV,VICTORY                      BL,"(34.1867, -118.4225)",19729,184,499,,5,70
230204108,01/03/2023,01/03/2023,1705,02,Rampart,0249,997,TRAFFIC COLLISION,4024 3008 3026 3029 3033 3101 0605 3401 3701 3037,29,M,H,101,STREET,7TH,LUCAS,"(34.0515, -118.2658)",23078,567,1378,54,11,76
